,incident_date,incident_parent,location,neighborhood,council_district,police_district
3891,2020-12-17 11:52:00,Sexual Offense,-78.809 42.856,Seneca-Cazenovia,SOUTH,District A
3892,2020-12-17 12:32:00,Sexual Offense,-78.82 42.899,Genesee-Moselle,FILLMORE,District C
3893,2020-12-17 14:00:00,Sexual Offense,-78.826 42.949,University Heights,UNIVERSITY,District E
3894,2020-12-17 14:00:00,Sexual Offense,-78.816 42.888,Lovejoy,LOVEJOY,District C
3895,2020-12-17 14:12:00,Robbery,-78.864 42.913,Masten Park,MASTEN,District E
3896,2020-12-17 15:00:00,Sexual Offense,-78.878 42.916,Elmwood Bidwell,DELAWARE,District D
3897,2020-12-17 15:04:00,Assault,-78.839 42.884,Broadway Fillmore,FILLMORE,District C
3898,2020-12-17 15:05:00,Robbery,-78.827 42.874,Broadway Fillmore,FILLMORE,District C
3899,2020-12-17 15:51:00,Sexual Offense,-78.808 42.945,Kensington-Bailey,UNIVERSITY,District E
3900,2020-12-17 16:00:00,Sexual Assault,-78.817 42.924,Kenfield,LOVEJOY,District E
3901,2020-12-17 17:00:00,Theft,-78.877 42.909,Elmwood Bryant,NIAGARA,District B
3902,2020-12-17 17:51:00,Sexual Offense,-78.815 42.948,University Heights,UNIVERSITY,District E
3903,2020-12-17 18:30:00,Breaking & Entering,-78.871 42.9,Allentown,FILLMORE,District B
3904,2020-12-17 18:31:00,Sexual Offense,-78.882 42.878,Central,FILLMORE,District B
3905,2020-12-17 19:00:00,Theft,-78.802 42.918,Schiller Park,LOVEJOY,District E
3906,2020-12-17 19:30:00,Sexual Offense,-78.829 42.923,Delavan Grider,MASTEN,District E
3907,2020-12-17 20:29:00,Assault,-78.8099967 42.9324325,Kenfield,UNIVERSITY,District E
3908,2020-12-17 20:48:00,Robbery,-78.839 42.885,Central,ELLICOTT,District B
3909,2020-12-17 21:30:00,Theft,-78.894 42.912,West Side,NIAGARA,District B
3910,2020-12-17 22:03:00,Theft,-78.894 42.937,Grant-Amherst,NORTH,District D
3911,2020-12-17 22:28:00,Sexual Assault,-78.80858657 42.89304722,Lovejoy,LOVEJOY,District C
3912,2020-12-17 22:52:00,Theft,-78.891 42.946,West Hertel,NORTH,District D
3913,2020-12-18 00:00:00,Sexual Offense,-78.8271395 42.9464646,University Heights,UNIVERSITY,District E
3914,2020-12-18 00:00:00,Sexual Offense,-78.802 42.887,Lovejoy,LOVEJOY,District C
3915,2020-12-18 00:15:00,Assault,-78.866 42.895,Broadway Fillmore,FILLMORE,District C
